basin_cdec,cfs_cdec,cfs_usgs,county_cdec,data_collect_cdec,gage_oper_cdec,gelev_ft_cdec,group_cdec,hist_pkflow_usgs,id_cdec,id_nws,id_usgs,lat_cdec,lat_usgs,lon_cdec,lon_usgs,most_recent_cdec,most_recent_usgs,name_cdec,name_usgs,nearby_cty_cdec,nwsfloodstg_ft_usgs,stage_ft_usgs,state_usgs
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14162100,NA,44.17254444,NA,-122.3253889,NA,2019-05-31T06:00:00Z,NA,"Blue River Lake Near Blue River, Or",NA,NA,1337.77,or
NA,NA,393,NA,NA,NA,NA,NA,7270,NA,NA,14162200,NA,44.16234819,NA,-122.3331192,NA,2019-05-31T06:00:00Z,NA,"Blue River At Blue River, Or",NA,NA,4.12,or
NA,NA,4500,NA,NA,NA,NA,NA,64400,NA,VIDO3,14162500,NA,44.1248487,NA,-122.47062,NA,2019-05-31T07:00:00Z,NA,"Mckenzie River Near Vida, Or",NA,11,2.55,or
NA,NA,4550,NA,NA,NA,NA,NA,50900,NA,NA,14163150,NA,44.123738,NA,-122.6275715,NA,2019-05-31T06:15:00Z,NA,"Mckenzie River Blw Leaburg Dam, Nr Leaburg, Or",NA,NA,6.11,or
NA,NA,2560,NA,NA,NA,NA,NA,56100,NA,MCZO3,14163900,NA,44.0698492,NA,-122.7711874,NA,2019-05-31T06:15:00Z,NA,"Mckenzie River Near Walterville, Or",NA,14,2.56,or
NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,14164550,NA,44.07066667,NA,-122.8846667,NA,2019-05-31T07:30:00Z,NA,"Camp Crk At Camp Crk Rd Bridge, Nr Springfield, Or",NA,NA,8.26,or
NA,NA,7.82,NA,NA,NA,NA,NA,1270,NA,NA,14164700,NA,44.059348,NA,-122.9196644,NA,2019-05-31T06:15:00Z,NA,"Cedar Creek At Springfield, Or",NA,NA,1.65,or
NA,NA,4540,NA,NA,NA,NA,NA,47500,NA,MRHO3,14164900,NA,44.0712365,NA,-122.9645273,NA,2019-05-31T07:15:00Z,NA,"Mckenzie River Abv Hayden Br, At Springfield,or",NA,NA,54.26,or
NA,NA,113,NA,NA,NA,NA,NA,13500,NA,SPRO3,14165000,NA,44.09290317,NA,-122.9573052,NA,2019-05-31T06:45:00Z,NA,"Mohawk River Near Springfield, Or",NA,15,1.46,or
NA,NA,4850,NA,NA,NA,NA,NA,88200,NA,MRGO3,14165500,NA,44.11305556,NA,-123.0469722,NA,2019-05-31T07:15:00Z,NA,"Mckenzie River Near Coburg, Or",NA,NA,8.97,or
